No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
1576. Trụ sở Tòa án nhân dân Thành phố Hồ Chí Minh, Quận 1, Văn hóa kiến trúc, 2012, N/A
1577. Bảo tàng Lịch sử Thành phố Hồ Chí Minh, Quận 1, Văn hóa kiến trúc, 2012, N/A
1578. Bảo tàng Thành phố Hồ Chí Minh, Quận 1, Văn hóa kiến trúc, 2012, N/A
1579. Nhà hát Thành phố Hồ Chí Minh, Quận 1, Văn hóa kiến trúc, 2012, N/A
1580. Cơ sở Ban Tuyên huấn Xứ ủy Nam bộ, Quận 3, Lịch sử, 1988, N/A
1581. Cơ sở giấu vũ khí của Biệt động Thành đánh dinh Độc Lập, Quận 3, Lịch sử, 1988, N/A
1582. Sở Chỉ huy tiền phương Phân khu 6 trong chiến dịch Mậu Thân 1968, Quận 3, Lịch sử, 1988, N/A
1583. Khu trại giam bệnh viện Chợ Quán - nơi đồng chí Trần Phú hy sinh, Quận 5, Lịch sử, 1988, N/A
1584. Nơi đồng chí Nguyễn Tất Thành ở trước khi ra đi tìm đường cứu nước, Quận 5, Lịch sử, 1988, N/A
1585. Hội quán Nghĩa Nhuận, Quận 5, Văn hóa kiến trúc, 1993, N/A
1586. Hội quán Tuệ Thành (Chùa Bà), Quận 5, Văn hóa kiến trúc, 1993, N/A
1587. Hội quán Nghĩa An (Miếu Quan Đế hay Chùa Ông), Quận 5, Văn hóa kiến trúc, 1993, N/A
1588. Đình Minh Hương Gia Thạnh, Quận 5, Văn hóa kiến trúc, 1993, N/A
1589. Miếu Nhị Phủ (Chùa Ông Bổn), Quận 5, Văn hóa kiến trúc, 1998, N/A
1590. Nhà thờ tổ thợ bạc (Lệ Châu hội quán), Quận 5, Văn hóa kiến trúc, 1998, N/A
1591. Hội quán Quỳnh Phủ, Quận 5, Văn hóa kiến trúc, 2001, N/A
1592. Hội quán Hà Chương, Quận 5, Văn hóa kiến trúc, 2001, N/A
1593. Hội quán Ôn Lăng, Quận 5, Văn hóa kiến trúc, 2002, N/A
1594. Hầm bí mật in tài liệu Ban Tuyên huấn Hoa vận thời kỳ chống Mỹ cứu nước, Quận 6, Lịch sử, 1998, N/A
1595. Đình Bình Đông, Quận 8, Lịch sử, 1997, N/A
1596. Lò gốm cổ Hưng Lợi, Quận 8, Khảo cổ, 1998, N/A
1597. Bót Dây Thép, Quận 9, Lịch sử, 1993, N/A
1598. Đình Phong Phú, Quận 9, Lịch sử, 1993, N/A
1599. Chùa Hội Sơn, Quận 9, Văn hóa kiến trúc, 1993, N/A
1600. Chùa Phước Tường, Quận 9, Văn hóa kiến trúc, 1993, N/A
1601. Cơ sở in ấn của Hội Ủng hộ Vệ quốc đoàn, Quận 10, Lịch sử, 1988, N/A
1602. Hầm bí mật chứa vũ khí thời kháng chiến chống Mỹ, Quận 10, Lịch sử, 1988, N/A
1603. Đình Chí Hoà, Quận 10, Văn hóa kiến trúc, 1996, N/A
1604. Chùa Phụng Sơn, Quận 11, Văn hóa kiến trúc, 1988, N/A
1605. Chùa Giác Viên, Quận 11, Văn hóa kiến trúc, 1993, N/A
1606. Lăng Lê Văn Duyệt, Bình Thạnh, Văn hóa kiến trúc, 1988, N/A
1607. Đình Bình Hòa, Bình Thạnh, Văn hóa kiến trúc, 1993, N/A
1608. Tịnh xá Ngọc Phương, Gò Vấp, Lịch sử, 1994, N/A
1609. Đình Thông Tây Hội, Gò Vấp, Văn hóa kiến trúc, 1998, N/A
1610. Chùa sắc tứ Trường Thọ, Gò Vấp, Văn hóa kiến trúc, 2000, N/A
1611. Trụ sở Phái đoàn liên lạc của Bộ Tổng tư lệnh Quân đội Nhân dân Việt Nam cạnh Phân ban Quốc tế giám sát và kiểm soát đình chiến tại Sài Gòn (1955-1958), Phú Nhuận, Lịch sử, 1988, N/A
1612. Lăng Võ Di Nguy, Phú Nhuận, Văn hóa kiến trúc, 1993, N/A
1613. Đình Phú Nhuận, Phú Nhuận, Văn hóa kiến trúc, 1997, N/A
1614. Lăng Trương Tấn Bửu, Phú Nhuận, Văn hóa kiến trúc, 2004, N/A
1615. Mộ Phan Châu Trinh, Tân Bình, Lịch sử, 1994, N/A
1616. Địa đạo Phú Thọ Hòa, Tân Bình, Lịch sử, 1996, N/A
1617. Chùa Giác Lâm, Tân Bình, Văn hóa kiến trúc, 1988, N/A
1618. Trại Davis, P.12- Tân Bình, Lịch sử văn hóa, 2017, số 827/QĐ
1619. Đình Trường Thọ, Thủ Đức, Văn hóa kiến trúc, 2002, N/A
1620. Đình Xuân Hiệp, Thủ Đức, Văn hóa kiến trúc, 2004, N/A
1621. Giồng Cá Vồ, Cần Giờ, Khảo cổ, 2000, N/A
1622. Khu địa đạo Củ Chi, Củ Chi, Lịch sử, 1979, N/A
1623. Địa đạo Bến Đình, Củ Chi, Lịch sử, 2004, N/A
1624. Căn cứ Rừng Sác, Cần Giờ, Lịch sử, 2004, N/A
1625. Địa điểm Dinh Quận Hóc Môn, Hóc Môn, Lịch sử, 1993, Di tích Nam kỳ khởi nghĩa
1626. Ngã ba Giồng, Hóc Môn, Lịch sử, 2002, N/A
1627. Chùa Bửu Lâm, P.3- Tp. Mỹ Tho, Lịch sử văn hóa, 1999, N/A
1628. Chùa Vĩnh Tràng, Mỹ Phong- Tp. Mỹ Tho, Lịch sử văn hóa, 1984, N/A
1629. Đình Điều Hòa, P.2- Tp. Mỹ Tho, Lịch sử văn hóa, 2009, N/A
1630. Chiến thắng Cổ Cò, An Thái Đông- Cái Bè, Lịch sử văn hóa, 2001, N/A
1631. Chiến thắng Ấp Bắc (2/1/1963), Tân Phú- Cai Lậy, Lịch sử văn hóa, 1993, N/A
1632. Đình Long Trung, Long Trung- Cai Lậy, Lịch sử văn hóa, 1999, N/A
1633. Lăng Tứ Kiệt, Tt. Cai Lậy- Cai Lậy, Lịch sử văn hóa, 1999, N/A
1634. Chiến thắng Giồng Dứa, Long Định- Châu Thành, Lịch sử văn hóa, 2003, N/A
1635. Khu di tích chiến thắng Rạch Gầm – Xoài Mút, Kim Sơn- Châu Thành, Lịch sử văn hóa đặc biệt, 1993 2014, đặc biệt 2408/QĐ-TTg
1636. Di tích Thảm sát Chợ Giữa 1940, Vĩnh Kim- Châu Thành, Lịch sử văn hóa, 2003, N/A
1637. Đình Long Hưng, Long Hưng- Châu Thành, Lịch sử văn hóa, 1995, N/A
1638. Di chỉ Gò Thành, Tân Thuận Bình- Chợ Gạo, Lịch sử văn hóa, 12/12/1994, N/A
1639. Mộ và đền thờ Thủ Khoa Huân, Hòa Tịnh- Chợ Gạo, Lịch sử văn hóa, 1987, N/A
1640. Lăng Trương Định, Gia Thuận- Gò Công, Lịch sử văn hóa, 2004, N/A
1641. Lăng Hoàng gia, Long Hưng- Tx. Gò Công, Lịch sử văn hóa, 2/12/1992, N/A
1641. Lăng Hoàng gia, Long Hưng- Tx. Gò Công, Lịch sử văn hóa, 2/12/1992, N/A
1642. Đình Đồng Thạnh, Đồng Thạnh- Gò Công Tây, Lịch sử văn hóa, 2008, N/A
1643. Chiến lũy Pháo Đài, Phú Tân- Tân Phú Đông, Lịch sử văn hóa, 1987, N/A
1644. Bến đò Phú Mỹ, Phú Mỹ- Tân Phước, Lịch sử văn hóa, 1994, N/A
1645. Nhà trăm cột, Long Hựu Đông- Cần Đước, Lịch sử văn hóa, 1997, N/A
1646. Chùa Phước Lâm, Tân Lân- Cần Đước, Lịch sử văn hóa, 2001, N/A
1647. Chùa Thới Bình, Phước Lại- Cần Giuộc, Lịch sử văn hóa, 22/2/1997, Số 400/QĐ/UB
1648. Chùa Tôn Thạnh, Mỹ Lộc- Cần Giuộc, Lịch sử văn hóa, 27/11/1997, Số 2890-VH/QĐ
1649. Di tích khảo cổ Rạch Núi, Đông Thạnh- Cần Giuộc, Lịch sử khảo cổ, 11/6/1999, số 38/1999/QĐ
1650. Nhà cổ Thanh Phú Long, Thanh Phú Long- Châu Thành, Lịch sử văn hóa, 2007, N/A
1651. Ngã tư Đức Hòa, Tt. Đức Hòa- Đức Hòa, Lịch sử văn hóa, 05/9/1989, số 1570-VH/QĐ
1652. Căn cứ Bình Thành, Bình Thành- Đức Huệ, Lịch sử văn hóa, 1998, N/A
1653. Di tích Vàm Nhựt Tảo, An Nhựt Tân- Tân Trụ, Lịch sử văn hóa, 28/06/1996, N/A
1654. Khu lưu niệm Luật sư Nguyễn Hữu Thọ, Tt. Bến Lức- Bến Lức, Lịch sử văn hóa, 2015, 2244/QĐDL
1655. Đồn Long Khốt, Thái Bình Trung- Vĩnh Hưng, Lịch sử văn hóa, 17/5/2019, N/A
1656. Gò Tháp, Tân Kiều & Mỹ Hòa- Tháp Mười, Lịch sử khảo cổ đặc biệt, 27/9/2012, 1419/QĐ-TTg
1657. Căn cứ kháng chiến Tỉnh ủy Kiến Phong (Xẻo Quít), Mỹ Long- Mỹ Hiệp- Cao Lãnh, Lịch sử, 09/04/1992, 420/QĐ
1658. Khu di tích Nguyễn Sinh Sắc, P.4- Tp. Cao Lãnh, Lịch sử, 09/04/1992, 420/QĐ
1659. Chiến thắng Giồng Thị Đam - Gò Quản Cung, An Phước- Tân Hồng, Lịch sử, 19/01/2004, 02/QĐ
1660. Địa điểm Cơ quan Giao bưu Thông tin vô tuyến điện Nam bộ, Phú Cường- Tam Nông, Lịch sử, 03/08/2007, 40/QĐ
1661. Chùa Kiến An Cung, P.2- Tx. Sa Đéc, Lịch sử kiến trúc, 27/04/1990, 84/QĐ
1662. Nhà ông Huỳnh Cẩm Thuận, P.2- Tx. Sa Đéc, Lịch sử kiến trúc, 18/12/2009, 4706/QĐ
1663. Đình Phú Hựu, Tt. Cái Tàu Hạ- Châu Thành, Lịch sử kiến trúc, 18/12/2009, 4705/QĐ
1664. Đình Tân Phú Trung, Tân Phú Trung- Châu Thành, Lịch sử kiến trúc, 06/06/2012, 2140/QĐ/DL
1665. Chùa Bửu Hưng, Long Thắng- Lai Vung, Lịch sử kiến trúc, 03/08/2007, 39/QĐ
1666. Đình Định Yên, Định Yên- Lấp Vò, Lịch sử kiến trúc, 06/06/2012, 2139/QĐ/DL
1667. Đền thờ Trần Văn Năng, Tân Thạnh- Thanh Bình, Lịch sử, 19/01/2004, 02/QĐ
1668. Vụ Thảm sát Bình Thành, Tt. Thanh Bình- Thanh Bình, Lịch sử, 19/01/2004, 02/QĐ
1669. Đình Long Khánh, Long Khánh A- Hồng Ngự, Lịch sử kiến trúc, 18/12/2009, 4704/QĐ
1670. Địa điểm tập kết ra Bắc năm 1954 tại Cao Lãnh, Phường 6- tp Cao Lãnh, Di tích lịch sử, 2023, N/A
1671. Di tích Óc Eo-Ba Thê, Óc Eo- Thoại Sơn, Lịch sử khảo cổ đặc biệt, 2012, 1419/QĐ-TTg
1672. Thánh đường Mubarak, ấp Châu Giang, Châu Phong- Tx. Tân Châu, Văn hóa nghệ thuật, 12/12/1986, số 235/VH/QĐ
1673. Núi Sam, Núi Sam- Tx. Châu Đốc, Danh thắng, 10/07/1980, số 92-VHTT/QĐ
1674. Khu chứng tích tội ác của bọn diệt chủng Pôn Pốt, Tt. Ba Chúc- Tri Tôn, Lịch sử, 10/7/1980, số 92/QĐ
1675. Gò Tháp An Lợi, Châu Lăng- Tri Tôn, Lịch sử, 26/02/2008, số 10/2008/QĐ
1676. Đình Vĩnh Ngươn, Vĩnh Nguơn- Tx. Châu Đốc, Văn hóa kiến trúc, 02/06/2011, số 1713/QĐ
1677. Đền thờ Quản cơ Trần Văn Thành, Thạnh Mỹ Tây- Châu Phú, Lịch sử, 12/12/1986, số 235/VH-QĐ
1678. Cột Dây Thép, Long Điền A- Chợ Mới, Lịch sử, 09/01/1990, số 34-VH/QĐ
1679. Chùa Ông Bắc, Mỹ Long- Long Xuyên, Văn hóa kiến trúc, 15/06/1987, số 112-VH/QĐ
1680. Chùa Hòa Thạnh, Nhơn Hưng- Tịnh Biên, Lịch sử văn hóa, 04/08/1992, số 983-VH/QĐ
1681. Chùa Giồng Thành, Long Sơn- Tx. Tân Châu, Lịch sử, 12/12/1986, số 235-VH/QĐ
1682. Chùa Bà Lê (Phước Hội Tự), Hội An- Chợ Mới, Lịch sử, 12/12/1986, số 235/VH-QĐ
1683. Căn cứ Ô Tà Sóc, Lương Phi- Tri Tôn, Văn hóa kiến trúc, 28/12/2001, số 52/2001/QĐ
1684. Đình Đa Phước, Đa Phước- An Phú, Lịch sử, 12/02/1999, số 05/1999/QĐ
1685. Lăng Thoại Ngọc Hầu, Núi Sam- Châu Đốc, Lịch sử, 1997, N/A
1686. Nhà Bảo tàng Bến Tre, Phường 3- Tp. Bến Tre, Lịch sử, N/A, N/A
1687. Đình An Hội và chùa Viên Minh, Phường 2- Tp. Bến Tre, Lịch sử, N/A, N/A
1688. Chùa Viên Giác, Phường 5- Tp. Bến Tre, Lịch sử, N/A, N/A
1689. Tòa thánh Cao đài Ban chỉnh, Phường 6- Tp. Bến Tre, Lịch sử, N/A, N/A
1690. Đình Phú Lễ, Phú Lễ- Ba Tri, Văn hóa kiến trúc, N/A, N/A
1691. Mộ và khu tưởng niệm Nguyễn Đình Chiểu, An Đức- Ba Tri, Lịch sử đặc biệt, 2016, 2499/QĐ-TTg
1692. Mộ nhà giáo Võ Trường Toản, Bảo Thạnh- Ba Tri, Lịch sử, N/A, N/A
1693. Khu mộ Phan Thanh Giản, Bảo Thạnh- Ba Tri, Lịch sử, N/A, N/A
1694. Khu lưu niệm Đốc binh Phan Ngọc Tòng, An Hiệp- Ba Tri, Lịch sử, N/A, N/A
1695. Nhà thờ Cái Bông, An Phú Trung- Ba Tri, Lịch sử, N/A, N/A
1696. Đình Tân Hưng và mộ ông Huỳnh Văn Thiệu, Châu Hưng- Bình Đại, Lịch sử, N/A, N/A
1697. Các trận đánh tại ngã tư Thạnh Tân, Thạnh Phước- Bình Đại, Lịch sử, N/A, N/A
1698. Đình Tân Thạch, Tân Thạch- Châu Thành, Văn hóa kiến trúc, N/A, N/A
1699. Tòa thánh Cao đài Tiên Thiên, Tiên Thủy- Châu Thành, Văn hóa kiến trúc, N/A, N/A
1700. Chùa cổ Hội Tôn, Quới Sơn- Châu Thành, Lịch sử, N/A, N/A
1701. Nhà bia Trương Vĩnh Ký, Vĩnh Thành- Chợ Lách, Lịch sử, N/A, N/A
1702. Nhà thờ cổ Cái Mơn, Vĩnh Thành- Chợ Lách, Lịch sử, N/A, N/A
1703. Đình Bình Hòa, Bình Hòa- Giồng Trôm, Văn hóa kiến trúc, N/A, N/A
1704. Nhà ông Nguyễn Văn Trác, Hưng Lễ- Giồng Trôm, Lịch sử, N/A, N/A
1705. Các Chứng tích về cuộc thảm sát 286 người vô tội do thực dân Pháp tiến hành năm 1947, Phong Nẫm- Giồng Trôm, Lịch sử, N/A, N/A
1706. Đền thờ Lãnh binh Nguyễn Ngọc Thăng, Mỹ Thạnh- Giồng Trôm, Lịch sử, N/A, N/A
1707. Đền thờ nhà thơ Phan Văn Trị, Thạnh Phú Đông- Giồng Trôm, Lịch sử, N/A, N/A
1708. Khu tưởng niệm nữ tướng Nguyễn Thị Định, Lương Hòa- Giồng Trôm, Lịch sử, N/A, N/A
1709. Đền thờ trung tướng Đồng Văn Cống, Tân Hào- Giồng Trôm, Lịch sử, N/A, N/A
1710. Căn cứ Quân khu ủy Sài Gòn – Gia Định, Tân Phú Tây- Mỏ Cày Bắc, Lịch sử, N/A, N/A
1711. Đình Tân Ngãi, Thạnh Ngãi- Mỏ Cày Bắc, Lịch sử, N/A, N/A
1712. Cuộc thảm sát 129 người dân vô tội của Mỹ–Ngụy, Tân Thanh Tây- Mỏ Cày Bắc, Lịch sử, N/A, N/A
1713. Đồng khởi Bến Tre, Định Thủy- Mỏ Cày Nam, Lịch sử đặc biệt, 2016, 2499/QĐ-TTg
1714. Chùa Tuyên Linh, Minh Đức- Mỏ Cày Nam, Lịch sử, 1994, N/A
1715. Đình Rắn, Định Thủy- Mỏ Cày Nam, Lịch sử, N/A, N/A
1716. Đầu cầu tiếp nhận vũ khí Bắc – Nam, Thạnh Phong- Thạnh Phú, Lịch sử, N/A, N/A
1717. Nhà cổ Huỳnh Phủ (Hương Liêm) và khu mộ, Đại Điền- Thạnh Phú, Lịch sử, N/A, N/A
1718. Lăng thờ cá Ông, Bình Đại & Thạnh Phú, Lịch sử, N/A, N/A
1719. Nơi ở và hoạt động của Đại tá Phạm Ngọc Thảo, P.3- Tp. Bến Tre, Lịch sử, 2015, số 2243/QĐDL
1720. Văn Thánh Miếu Vĩnh Long, P.4- Tp. Vĩnh Long, Lịch sử văn hóa, 25/3/1991, N/A
1721. Chùa Tiên Châu, An Bình- Long Hồ, Lịch sử văn hóa, 12/12/1994, N/A
1722. Đình Long Thanh (Long Thanh Miếu Vũ), P.5- Tp. Vĩnh Long, Lịch sử, 25/3/1991, N/A
1723. Công Thần Miếu Vĩnh Long, P.5- Tp. Vĩnh Long, Lịch sử, 31/08/1998, 1811/QĐ
1724. Chùa Phước Hậu, Phước Hậu- Long Hồ, Lịch sử, xx, N/A
1725. Thánh Tịnh Ngọc Sơn Quang, Tân An Hội- Mang Thít, Lịch sử, xx, N/A
1726. Đình Tân Hoa, Tân Hòa- Tp. Vĩnh Long, Lịch sử văn hóa, 1998, N/A
1727. Địa điểm Chiến thắng Chi khu Ngã Năm, P. 1- TX. Ngã Năm, Lịch sử - Cách mạng, 23/8/2004, Số 73/2004/QĐ - BVHTT
1728. Miếu Bà Chúa Xứ Mỹ Đông, Mỹ Quới- TX. Ngã Năm, Lịch sử, 2003, QĐ 62
1729. Đình Hòa Tú, Hòa Tú I- Mỹ Xuyên, Lịch sử - Cách mạng, 16/6/1992, Số 734/QĐ - BVHTT
1730. Đền thờ Bác Hồ, An Thạnh Đông- Cù Lao Dung, Lịch sử - Văn hóa, 28/12/2001, Số 53/2001/QĐ - BVHTT
1731. Trường Taberd, P. 6- TP. Sóc Trăng, Lịch sử - Văn hóa, 16/6/1992, Số 734/QĐ - BVHTT
1732. Chùa Kh'leang, P. 6- TP. Sóc Trăng, Kiến trúc - Nghệ thuật, 27/4/1990, Số 84/QĐ - BVHTT
1733. Chùa Dơi, P. 3- TP. Sóc Trăng, Kiến trúc - Nghệ thuật, 12/2/1999, Số 05/1999/QĐ - BVHTT
1734. Khu căn cứ Tỉnh ủy, Mỹ Phước- Mỹ Tú, Lịch sử - Cách mạng, 11/6/1992, Số 734/QĐ - BVHTT
1735. Đình Bình Thủy, Bình Thủy- Bình Thủy, Lịch sử kiến trúc, N/A, N/A
1736. Chùa Long Quang (Cần Thơ), Long Hòa- Bình Thủy, Lịch sử kiến trúc, 21/6/1993, số 774-QĐ/BT
1737. Nhà thờ họ Dương, Bình Thủy- Bình Thủy, Lịch sử văn hóa, N/A, N/A
1738. Cơ quan đặc ủy An Nam Cộng sản Đảng 1929-1930, Bùi Hữu Nghĩa- Bình Thủy, Lịch sử văn hóa, N/A, N/A
1739. Chùa Nam Nhã, Bùi Hữu Nghĩa- Bình Thủy, Lịch sử văn hóa, 25/1/1991, số 154-QĐ/VH
1740. Mộ thủ khoa Bùi Hữu Nghĩa, Bùi Hữu Nghĩa- Bình Thủy, Lịch sử văn hóa, 25/1/1994, số 152-QĐ/BT
1741. Chùa Hội Linh (Cần Thơ) (Hội Linh cổ tự), Bùi Hữu Nghĩa- Bình Thủy, Lịch sử văn hóa, 1993, số 774/QĐBT
1742. Chùa Ông, Tân An- Ninh Kiều, Lịch sử kiến trúc, 1993, N/A
1743. Khám lớn Cần Thơ, Tân An- Ninh Kiều, Lịch sử văn hóa, 28/6/1996, số 1460/QĐ-VH
1744. Mộ nhà thơ Phan Văn Trị, Nhơn Ái- Phong Điền, Lịch sử văn hóa, N/A, N/A
1745. Khu di tích Chiến thắng Tầm Vu, Thạnh Xuân- Châu Thành A, Lịch sử văn hóa, 25/1/1991, số 154/VH/QĐ
1746. Chiến thắng Chương Thiện, Vĩnh Viễn- Long Mỹ, Lịch sử đặc biệt, 2013, 2383/QĐ-TTg
1747. Đền thờ Bác Hồ, Lương Tâm- Long Mỹ, Lịch sử văn hóa, N/A, N/A
1748. Ủy ban Liên hợp Đình chiến Nam Bộ, Hiệp Thành- Tx. Ngã Bảy, Lịch sử văn hóa, N/A, N/A
1749. Căn cứ Tỉnh ủy Cần Thơ, Phương Bình- Phụng Hiệp, Lịch sử văn hóa, N/A, N/A
1750. Khu trù mật Vị Thanh - Hỏa Lựu, P.1- Tp. Vị Thanh, Lịch sử văn hóa, N/A, N/A
1751. Chiến thắng Vàm Cái Sình, P.7- Tp. Vị Thanh, Lịch sử văn hóa, N/A, N/A
1752. Địa điểm Bờ Lũy – Chùa Lò Gạch, Lương Hòa- Châu Thành, Khảo cổ, 2018, N/A
1753. Đền thờ Chủ tịch Hồ Chí Minh, Ấp Vĩnh Hội, Long Đức- Tp. Trà Vinh, Lịch sử, 05/9/1989, Số 1570/VHQĐ
1754. Lưu Cừ II, Lưu Nghiệp Anh- Trà Cú, Văn hóa kiến trúc, 09/01/1990, Số 34/VHQĐ
1755. Ao Bà Om, phường 8- Tp. Trà Vinh, Lịch sử, 20/7/1994, Số 921/QĐ/BT
1756. Chùa Âng, phường 8- Tp. Trà Vinh, Văn hóa kiến trúc tôn giáo, 20/7/1994, Số 921/QĐ/BT
1757. Chùa Giác Linh (Chùa Dơi), Mỹ Long Bắc- Cầu Ngang, Lịch sử, 24/01/1998, Số 95-1998/QĐ
1758. Bến tiếp nhận vũ khí Cồn Tàu, Trường Long Hòa- Duyên Hải, Lịch sử, 19/02/2004, Số 02-2004/QĐ
1759. Phước Minh Cung (Chùa Ông), phường 2- Tp. Trà Vinh, Văn hóa kiến trúc, 16/11/2005, Số 76/QĐ
1760. Chùa Bodhicuàmani Ấp Sóc, Huyền Hội- Càng Long, Lịch sử, 03/3/2009, Số 834/QĐ
1761. Chùa Bodhisalaraja (Kom Pong), phường 1- Tp. Trà Vinh, Lịch sử, 23/3/2010, Số 1020/QĐ
1762. Chùa Pysey Vararam (Chùa Ba Si), Phương Thạnh- Càng Long, Lịch sử, 18/7/2012, Số 2631/QĐ
1763. Chùa Teakhinasakor Tà Lôn (Cái Cối), Long Vĩnh- Duyên Hải, Lịch sử, 18/4/2013, Số 1457/QĐ
1764. Chùa Cù Là, Tt. Minh Lương- Châu Thành, Lịch sử văn hóa, N/A, N/A
1765. Chùa Tổng Quản, Thới Quản- Gò Quao, Lịch sử, N/A, N/A
1766. Núi Đá Dựng, Mỹ Đức- Tx. Hà Tiên, Danh thắng, N/A, N/A
1767. Bình San, Bình San- Tx. Hà Tiên, Lịch sử văn hóa, N/A, N/A
1768. Thạch Động, Mỹ Đức- Tx. Hà Tiên, Danh thắng, N/A, N/A
1769. Mũi Nai, Mỹ Đức- Tx. Hà Tiên, Danh thắng, N/A, N/A
1770. Nhà tù Hà Tiên, Đông Hồ- Tx. Hà Tiên, Lịch sử, N/A, N/A
1771. Lăng Mạc Cửu, Bình San- Tx. Hà Tiên, Lịch sử, N/A, N/A
1772. Chùa Sóc Xoài, Tt. Sóc Sơn- Hòn Đất, Lịch sử, N/A, N/A
1773. Hòn Đất (Ba Hòn: Hòn Đất, Hòn Me và Hòn Quéo), Thổ Sơn- Hòn Đất, Danh thắng, N/A, N/A
1774. Núi Mo So, Bình An- Kiên Lương, Lịch sử văn hóa, N/A, N/A
1775. Nhà lao Cây Dừa (Nhà tù Phú Quốc), Tx. An Thới- Phú Quốc, Lịch sử đặc biệt, 2014, số 2408/QĐ-TTg
1776. Chùa Tam Bảo, Vĩnh Lạc- Tp. Rạch Giá, Lịch sử văn hóa, 22/3/1988, số 191VH/QĐ
1777. Chùa Quan Đế, Vĩnh Thanh Vân- Tp. Rạch Giá, Lịch sử văn hóa, N/A, N/A
1778. Đình thờ Nguyễn Trung Trực, Vĩnh Thanh- Tp. Rạch Giá, Lịch sử văn hóa, 22/3/1988, số 191VH/QĐ
1779. Chùa Phật Lớn, Vĩnh Quang- Tp. Rạch Giá, Lịch sử văn hóa, 28/12/2001, N/A
1780. Đình Vĩnh Hòa, Vĩnh Thanh Vân- Tp. Rạch Giá, Lịch sử văn hóa, N/A, N/A
1781. Nhà Bảo tàng Kiên Giang, Vĩnh Thanh Vân- Tp. Rạch Giá, Lịch sử, N/A, N/A
1782. Chùa Láng Cát, Vĩnh Lạc- Tp. Rạch Giá, Lịch sử văn hóa, N/A, N/A
1783. Vườn quốc gia U Minh Thượng, An Minh Bắc- U Minh Thượng, Danh thắng, 2002, số 11/2002/QĐ-TTG
1784. Đồng Nọc Nạng, Phong Thạnh A- TX. Giá Rai, Lịch sử, 1991, N/A
1785. Tháp Vĩnh Hưng, Vĩnh Hưng A- H. Vĩnh Lợi, Kiến trúc, 1992, N/A
1786. Đền thờ Chủ tịch Hồ Chí Minh (Bạc Liêu), Châu Thới- H. Vĩnh Lợi, Lịch sử, 1998, N/A
1787. Đình An Trạch, Phường 5- TP. Bạc Liêu, Kiến trúc, 2000, N/A
1788. Thành Hoàng Cổ Miếu (Chùa Minh), Phường 3- TP. Bạc Liêu, Kiến trúc, 2000, N/A
1789. Phước Đức Cổ Miếu (Chùa Bang), Phường 3- TP. Bạc Liêu, Kiến trúc, 2000, N/A
1790. Phước Đức Cổ Miếu (Miếu Ông Bổn), Phường 8- TP. Bạc Liêu, Kiến trúc, 2005, N/A
1791. Chùa Kro Pum Mean Chey Kos Thum (chùa Cỏ Thum), Ninh Thạnh Lợi- H. Hồng Dân, Lịch sử, 2006, N/A
1792. Căn cứ Cái Chanh, Ninh Thạnh Lợi- H. Hồng Dân, Quốc gia đặc biệt, 2020, N/A
1793. Địa điểm trận Giồng Bốm (1946), Phong Thạnh Tây- TX. Giá Rai, Lịch sử, 2021, N/A
1794. Chùa Phật Tổ (Quan Âm Cổ Tự), Thành phố Cà Mau, Văn hóa kiến trúc, 2016, N/A
1795. Đình Tân Hưng, Thành phố Cà Mau, Lịch sử, 2016, N/A
1796. Nhà Dây Thép, Thành phố Cà Mau, Lịch sử, 2016, N/A
1797. Hồng Anh Thư Quán, Thành phố Cà Mau, Lịch sử, 2016, N/A
1798. Bến Vàm Lũng (Đường Hồ Chí Minh trên biển), Tân An- Ngọc Hiển, Lịch sử cách mạng, 10/11/2010, 3996/QĐ
